formula,solver,runtime,conflicts
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_34.cnf,wrapper-luby.sh,0.003507,474
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_27.cnf,wrapper-luby.sh,0.004577,569
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_4.cnf,wrapper-luby.sh,0.003781,308
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_40.cnf,wrapper-luby.sh,0.002472,253
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_35.cnf,wrapper-luby.sh,0.005184,533
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_9.cnf,wrapper-luby.sh,0.002832,97
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_21.cnf,wrapper-luby.sh,0.002122,140
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_31.cnf,wrapper-luby.sh,0.002834,369
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_6.cnf,wrapper-luby.sh,0.00255,91
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_0.cnf,wrapper-luby.sh,0.003032,326
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_17.cnf,wrapper-luby.sh,0.003152,118
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_20.cnf,wrapper-luby.sh,0.004957,681
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_45.cnf,wrapper-luby.sh,0.003781,374
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_15.cnf,wrapper-luby.sh,0.002286,187
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_17.cnf,wrapper-luby.sh,0.003886,286
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_26.cnf,wrapper-luby.sh,0.003476,481
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_19.cnf,wrapper-luby.sh,0.004748,343
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_5.cnf,wrapper-luby.sh,0.002918,275
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_46.cnf,wrapper-luby.sh,0.006461,633
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_17.cnf,wrapper-luby.sh,0.001808,191
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_12.cnf,wrapper-luby.sh,0.006902,822
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_30.cnf,wrapper-luby.sh,0.002221,172
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_28.cnf,wrapper-luby.sh,0.002754,230
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_10.cnf,wrapper-luby.sh,0.000886,109
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_7.cnf,wrapper-luby.sh,0.002365,161
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_23.cnf,wrapper-luby.sh,0.006003,750
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_2.cnf,wrapper-luby.sh,0.008388,985
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_7.cnf,wrapper-luby.sh,0.002287,69
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_24.cnf,wrapper-luby.sh,0.001205,115
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_19.cnf,wrapper-luby.sh,0.001466,20
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_14.cnf,wrapper-luby.sh,0.002032,145
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_47.cnf,wrapper-luby.sh,0.00816,864
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_1.cnf,wrapper-luby.sh,0.002873,324
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_9.cnf,wrapper-luby.sh,0.002601,328
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_12.cnf,wrapper-luby.sh,0.002584,193
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_3.cnf,wrapper-luby.sh,0.001141,68
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_42.cnf,wrapper-luby.sh,0.001796,104
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_4.cnf,wrapper-luby.sh,0.004789,635
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_11.cnf,wrapper-luby.sh,0.001822,161
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_19.cnf,wrapper-luby.sh,0.001995,182
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_6.cnf,wrapper-luby.sh,0.003297,418
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_18.cnf,wrapper-luby.sh,0.002082,244
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_3.cnf,wrapper-luby.sh,0.004628,555
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_8.cnf,wrapper-luby.sh,0.000744,19
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_2.cnf,wrapper-luby.sh,0.00245,143
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_10.cnf,wrapper-luby.sh,0.003879,179
