formula,solver,runtime,conflicts,entropy,num sols
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_28.cnf,wrapper-luby.sh,0.002754,230,0.072,304
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_10.cnf,wrapper-luby.sh,0.000886,109,0.184,505866
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_7.cnf,wrapper-luby.sh,0.002365,161,0.274,140434
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_23.cnf,wrapper-luby.sh,0.006003,750,0.066,192
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_2.cnf,wrapper-luby.sh,0.008388,985,0.056,144
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_7.cnf,wrapper-luby.sh,0.002287,69,0.066,168
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_24.cnf,wrapper-luby.sh,0.001205,115,0.08,576
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_19.cnf,wrapper-luby.sh,0.001466,20,0.404,105288
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_14.cnf,wrapper-luby.sh,0.002032,145,0.152,246310
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_47.cnf,wrapper-luby.sh,0.00816,864,0.062,128
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_1.cnf,wrapper-luby.sh,0.002873,324,0.365,1476
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_9.cnf,wrapper-luby.sh,0.002601,328,0.118,5856
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_12.cnf,wrapper-luby.sh,0.002584,193,0.256,80546
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_3.cnf,wrapper-luby.sh,0.001141,68,0.146,132156
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_42.cnf,wrapper-luby.sh,0.001796,104,0.055,104
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_4.cnf,wrapper-luby.sh,0.004789,635,0.11,14532
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_11.cnf,wrapper-luby.sh,0.001822,161,0.048,32
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_19.cnf,wrapper-luby.sh,0.001995,182,0.058,156
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_6.cnf,wrapper-luby.sh,0.003297,418,0.15,65868
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_18.cnf,wrapper-luby.sh,0.002082,244,0.139,6336
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_3.cnf,wrapper-luby.sh,0.004628,555,0.08,576
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_8.cnf,wrapper-luby.sh,0.000744,19,0.266,37176
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_2.cnf,wrapper-luby.sh,0.00245,143,0.104,14250
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_10.cnf,wrapper-luby.sh,0.003879,179,0.138,7400
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_15.cnf,wrapper-luby.sh,0.002345,1,0.248,93675
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_4.cnf,wrapper-luby.sh,0.002793,408,0.232,1892
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_8.cnf,wrapper-luby.sh,0.003151,184,0.256,1768
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_4.cnf,wrapper-luby.sh,0.003406,245,0.072,336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_13.cnf,wrapper-glucose.sh,0.004495,225,0.128,2620
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_9.cnf,wrapper-glucose.sh,0.001658,104,0.236,3968
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_5.cnf,wrapper-glucose.sh,0.004318,485,0.14,23752
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_4.cnf,wrapper-glucose.sh,0.001802,37,0.266,160271
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_1.cnf,wrapper-glucose.sh,0.00102,135,0.096,1224
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_12.cnf,wrapper-glucose.sh,0.001747,147,0.126,53280
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_10.cnf,wrapper-glucose.sh,0.002201,23,0.158,15052
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_2.cnf,wrapper-glucose.sh,0.001026,98,0.184,148844
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_22.cnf,wrapper-glucose.sh,0.003339,259,0.066,176
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_3.cnf,wrapper-glucose.sh,0.001992,89,0.14,8288
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_1.cnf,wrapper-glucose.sh,0.002178,97,0.09,4828
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_44.cnf,wrapper-glucose.sh,0.003132,242,0.062,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_9.cnf,wrapper-glucose.sh,0.003008,143,0.142,5052
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_39.cnf,wrapper-glucose.sh,0.002889,259,0.047,54
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_13.cnf,wrapper-glucose.sh,0.006768,632,0.166,15443
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_1.cnf,wrapper-glucose.sh,0.00179,129,0.066,240
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_11.cnf,wrapper-glucose.sh,0.002802,55,0.29,144106
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_1.cnf,wrapper-glucose.sh,0.002055,109,0.2,11408
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_5.cnf,wrapper-glucose.sh,0.00461,484,0.076,392
/home/sdorco/newInstances/CBS_k3_n100_m403_b10_6.cnf,wrapper-glucose.sh,0.004807,344,0.378,2864
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_6.cnf,wrapper-glucose.sh,0.005461,445,0.126,60256
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_49.cnf,wrapper-glucose.sh,0.004131,578,0.06,324
/home/sdorco/newInstances/CBS_k3_n100_m403_b50_8.cnf,wrapper-glucose.sh,0.003546,185,0.128,50
/home/sdorco/newInstances/CBS_k3_n100_m403_b90_36.cnf,wrapper-glucose.sh,0.003494,354,0.063,144
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_21.cnf,wrapper-glucose.sh,0.004971,561,0.108,386
/home/sdorco/newInstances/CBS_k3_n100_m403_b70_7.cnf,wrapper-glucose.sh,0.006575,606,0.11,6336
/home/sdorco/newInstances/CBS_k3_n100_m403_b30_5.cnf,wrapper-glucose.sh,0.002762,137,0.18,5696
